step,time,best_field,mean_field,cumulative_best_mean,avg_speed,swarm_radius
342,34.2,-104.452334,-94.59608803,-105.6154113,4.790008879,4.221239353
343,34.3,-104.0394433,-94.56225391,-105.6154113,4.525104189,4.108639308
344,34.4,-103.557735,-94.56162515,-105.6154113,4.237118292,3.955406048
345,34.5,-102.9512733,-94.57517463,-105.6154113,4.022492695,3.718239535
346,34.6,-102.2233764,-94.67437736,-105.6154113,4.155750787,3.396436464
347,34.7,-102.1454723,-94.79837459,-105.6154113,4.275619507,3.419408296
348,34.8,-102.5128053,-94.9773575,-105.6154113,4.258939409,3.596011791
349,34.9,-102.9665349,-95.21514235,-105.6154113,4.242444372,3.975461454
350,35,-103.4858669,-95.50655177,-105.7149006,4.192439222,4.343198962
351,35.1,-104.0381149,-95.88285155,-105.8253502,4.110179925,4.663327188
352,35.2,-104.5789862,-96.23742795,-105.9335244,3.987976146,4.938812055
353,35.3,-105.0626111,-96.58278527,-106.0302494,3.965738058,5.146570492
354,35.4,-105.4353116,-96.90232208,-106.1047895,4.28351953,5.27026421
355,35.5,-105.660638,-97.18202692,-106.1498548,4.546751022,5.302873989
356,35.6,-105.7529685,-97.41603598,-106.1683209,4.844298363,5.24549527
357,35.7,-105.7314493,-97.64801583,-106.1683209,5,5.097273126
358,35.8,-105.6154243,-97.87184102,-106.1683209,4.996106148,4.876877913
359,35.9,-105.4560379,-98.07255584,-106.1683209,4.828739071,4.649309259
360,36,-105.2617013,-98.25406237,-106.1683209,4.657895327,4.421174898
361,36.1,-105.0385251,-98.41459037,-106.1683209,4.464139128,4.397674936
